iter	Passed	Remaining
0	1	109
1	2	103
2	3	98
3	3	90
4	4	87
5	5	84
6	6	82
7	7	82
8	8	82
9	8	80
10	9	79
11	11	80
12	11	79
13	13	80
14	14	81
15	15	80
16	16	79
17	17	78
18	18	78
19	19	78
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	66
31	31	65
32	32	65
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	35
63	60	34
64	62	33
65	63	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	69	24
74	70	23
75	71	22
76	72	21
77	74	20
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	95	0
